t,phi
0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000021e-02,9.216062204633848065e-01
2.000000000000000042e-02,8.489137852951246233e-01
2.999999999999999889e-02,7.811493371569098176e-01
4.000000000000000083e-02,7.176869268551653303e-01
5.000000000000000278e-02,6.580127779988155234e-01
6.000000000000000472e-02,6.016999886242967444e-01
7.000000000000000666e-02,5.483899857087296548e-01
8.000000000000000167e-02,4.977786787002793090e-01
8.999999999999999667e-02,4.496059519601935950e-01
9.999999999999999167e-02,4.036475742394102784e-01
1.099999999999999867e-01,3.597088872478294563e-01
1.199999999999999817e-01,3.176198235633995726e-01
1.299999999999999767e-01,2.772309314292130122e-01
1.399999999999999856e-01,2.384101717036813395e-01
1.499999999999999944e-01,2.010403136922903344e-01
1.600000000000000033e-01,1.650168003213371426e-01
1.700000000000000122e-01,1.302459846694623558e-01
1.800000000000000211e-01,9.664366293792378548e-02
1.900000000000000300e-01,6.413384600195405627e-02
2.000000000000000389e-01,3.264772444602410950e-02
2.100000000000000477e-01,2.122791627953552612e-03
2.200000000000000566e-01,-2.749790332747656038e-02
2.300000000000000655e-01,-5.626639504302020922e-02
2.400000000000000744e-01,-8.423035195480672865e-02
2.500000000000000555e-01,-1.114335515352522787e-01
2.600000000000000644e-01,-1.379162925699277675e-01
2.700000000000000733e-01,-1.637157542358020079e-01
2.800000000000000822e-01,-1.888663100115018090e-01
2.900000000000000910e-01,-2.133998030705533955e-01
3.000000000000000999e-01,-2.373457886933090233e-01
3.100000000000001088e-01,-2.607317483267384550e-01
3.200000000000001177e-01,-2.835832791805288911e-01
3.300000000000001266e-01,-3.059242626396405651e-01
3.400000000000001354e-01,-3.277770142715499824e-01
3.500000000000001443e-01,-3.491624177903955850e-01
3.600000000000001532e-01,-3.701000449939300663e-01
3.700000000000001621e-01,-3.906082633997071674e-01
3.800000000000001710e-01,-4.107043330640082757e-01
3.900000000000001799e-01,-4.304044938623858840e-01
4.000000000000001887e-01,-4.497240443377095720e-01
4.100000000000001976e-01,-4.686774130748442846e-01
4.200000000000002065e-01,-4.872782234361800469e-01
4.300000000000002154e-01,-5.055393523855725713e-01
4.400000000000002243e-01,-5.234729840369017895e-01
4.500000000000002331e-01,-5.410906584849803913e-01
4.600000000000002420e-01,-5.584033164089412526e-01
4.700000000000002509e-01,-5.754213398798339041e-01
4.800000000000002598e-01,-5.921545897535830383e-01
4.900000000000002687e-01,-6.086124399865430190e-01
5.000000000000002220e-01,-6.248038091726537679e-01
5.100000000000002309e-01,-6.407371895678503071e-01
5.200000000000002398e-01,-6.564206738382075690e-01
5.300000000000002487e-01,-6.718619797427387574e-01
5.400000000000002576e-01,-6.870684729393100598e-01
